2014-05-19 22:54:54,919 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-05-19 22:54:54,919 | INFO  | Recovery replayed 1 operations from the journal in 0.012 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-05-19 22:54:54,939 | INFO  | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 22:54:54,939 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 22:54:55,257 | INFO  | Listening for connections at: tcp://htcaas-hieu.kisti.re.kr:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-05-19 22:54:55,257 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-05-19 22:54:55,259 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:htcaas-hieu.kisti.re.kr-39414-1400507694954-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 22:54:55,259 | WARN  | Store limit is 102400 mb, whilst the data directory: /root/workspace/HTCaaS_ext/activeMQ/bin/linux-x86-64/../../data/kahadb only has 41680 mb of usable space | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 22:54:55,260 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /root/workspace/HTCaaS_ext/activeMQ/bin/linux-x86-64/../../data/localhost/tmp_storage only has 41680 mb of usable space | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 22:54:55,366 | INFO  | jetty-7.6.1.v20120215 | org.eclipse.jetty.server.Server | WrapperSimpleAppMain
2014-05-19 22:54:55,691 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2014-05-19 22:54:55,692 | INFO  | started o.e.j.w.WebAppContext{/admin,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/admin/} | org.eclipse.jetty.server.handler.ContextHandler | WrapperSimpleAppMain
2014-05-19 22:54:55,808 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2014-05-19 22:54:56,263 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.webapp.WebAppContext | WrapperSimpleAppMain
2014-05-19 22:54:56,299 | INFO  | started o.e.j.w.WebAppContext{/demo,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/demo/} | org.eclipse.jetty.server.handler.ContextHandler | WrapperSimpleAppMain
2014-05-19 22:54:56,314 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.webapp.WebAppContext | WrapperSimpleAppMain
2014-05-19 22:54:56,345 | INFO  | started o.e.j.w.WebAppContext{/fileserver,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/fileserver/} | org.eclipse.jetty.server.handler.ContextHandler | WrapperSimpleAppMain
2014-05-19 22:54:56,365 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.webapp.WebAppContext | WrapperSimpleAppMain
2014-05-19 22:54:56,392 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.server.AbstractConnector | WrapperSimpleAppMain
2014-05-19 23:08:42,854 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@513c6a22: startup date [Mon May 19 23:08:42 KST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2014-05-19 23:08:44,014 | INFO  | PListStore:[/root/workspace/HTCaaS_ext/activeMQ/bin/linux-x86-64/../../data/localhost/tmp_storage ] started | org.apache.activemq.store.kahadb.plist.PListStore | WrapperSimpleAppMain
2014-05-19 23:08:44,149 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/root/workspace/HTCaaS_ext/activeMQ/bin/linux-x86-64/../../data/kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 23:08:44,151 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:2011/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2014-05-19 23:08:44,439 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-05-19 23:08:44,459 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-05-19 23:08:44,460 | INFO  | Recovery replayed 2 operations from the journal in 0.012 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2014-05-19 23:08:44,470 | INFO  | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 23:08:44,470 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 23:08:44,729 | INFO  | Listening for connections at: tcp://htcaas-hieu.kisti.re.kr:61616 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2014-05-19 23:08:44,729 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2014-05-19 23:08:44,731 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:htcaas-hieu.kisti.re.kr-48782-1400508524485-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 23:08:44,731 | WARN  | Store limit is 102400 mb, whilst the data directory: /root/workspace/HTCaaS_ext/activeMQ/bin/linux-x86-64/../../data/kahadb only has 41679 mb of usable space | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 23:08:44,731 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /root/workspace/HTCaaS_ext/activeMQ/bin/linux-x86-64/../../data/localhost/tmp_storage only has 41679 mb of usable space | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2014-05-19 23:08:44,812 | INFO  | jetty-7.6.1.v20120215 | org.eclipse.jetty.server.Server | WrapperSimpleAppMain
2014-05-19 23:08:45,062 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2014-05-19 23:08:45,062 | INFO  | started o.e.j.w.WebAppContext{/admin,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/admin/} | org.eclipse.jetty.server.handler.ContextHandler | WrapperSimpleAppMain
2014-05-19 23:08:45,143 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2014-05-19 23:08:45,305 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.webapp.WebAppContext | WrapperSimpleAppMain
2014-05-19 23:08:45,338 | INFO  | started o.e.j.w.WebAppContext{/demo,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/demo/} | org.eclipse.jetty.server.handler.ContextHandler | WrapperSimpleAppMain
2014-05-19 23:08:45,352 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.webapp.WebAppContext | WrapperSimpleAppMain
2014-05-19 23:08:45,383 | INFO  | started o.e.j.w.WebAppContext{/fileserver,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/fileserver/} | org.eclipse.jetty.server.handler.ContextHandler | WrapperSimpleAppMain
2014-05-19 23:08:45,398 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.webapp.WebAppContext | WrapperSimpleAppMain
2014-05-19 23:08:45,425 | INFO  | Started SelectChannelConnector@0.0.0.0:8161 | org.eclipse.jetty.server.AbstractConnector | WrapperSimpleAppMain
2014-05-19 23:38:46,123 | WARN  | Transport Connection to: tcp://127.0.0.1:40233 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40233
2014-05-20 10:32:46,508 | WARN  | Transport Connection to: tcp://127.0.0.1:40581 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40581
2014-05-20 10:33:06,526 | WARN  | Transport Connection to: tcp://127.0.0.1:40597 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40597
2014-05-20 10:53:50,862 | WARN  | Transport Connection to: tcp://127.0.0.1:40617 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40617
2014-05-20 11:12:40,570 | WARN  | Transport Connection to: tcp://127.0.0.1:40631 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40631
2014-05-20 11:14:35,046 | WARN  | Transport Connection to: tcp://127.0.0.1:40652 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40652
2014-05-20 11:24:30,878 | WARN  | Transport Connection to: tcp://127.0.0.1:40664 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:40664
